COMMAND     PID   USER   FD   TYPE             DEVICE SIZE/OFF NODE NAME
rapportd    466 ashkie    8u  IPv4 0x30819e3e099dbbd7      0t0  TCP *:51956 (LISTEN)
rapportd    466 ashkie    9u  IPv6 0x36f7054ed46aa493      0t0  TCP *:51956 (LISTEN)
Google      499 ashkie  121u  IPv4 0xe56cba97455bd35c      0t0  TCP 127.0.0.1:60693 (LISTEN)
ControlCe   586 ashkie    8u  IPv4 0x2fe21e40057c6466      0t0  TCP *:7000 (LISTEN)
ControlCe   586 ashkie    9u  IPv6 0xcb7c6eacbe16ad19      0t0  TCP *:7000 (LISTEN)
ControlCe   586 ashkie   10u  IPv4 0xeb3208d7a4653947      0t0  TCP *:5000 (LISTEN)
ControlCe   586 ashkie   11u  IPv6 0x1f81d5be6157be70      0t0  TCP *:5000 (LISTEN)
postgres   1489 ashkie    7u  IPv6 0x95ddeda2086769aa      0t0  TCP [::1]:5432 (LISTEN)
postgres   1489 ashkie    8u  IPv4  0x44e80f2c71b1497      0t0  TCP 127.0.0.1:5432 (LISTEN)
Python     8866 ashkie    3u  IPv4 0x9bb1c60d882c60a3      0t0  TCP 127.0.0.1:8963 (LISTEN)
Python    12138 ashkie    3u  IPv4 0xd9b5e29bc2860639      0t0  TCP *:8850 (LISTEN)
Python    23031 ashkie    4u  IPv6 0x6e28a4636ad66b26      0t0  TCP *:8651 (LISTEN)
Python    31506 ashkie    4u  IPv6 0xb4b2db2b0d8e55c1      0t0  TCP *:8935 (LISTEN)
Python    32032 ashkie    4u  IPv6 0x40d7d3527fcdc43b      0t0  TCP *:8907 (LISTEN)
Python    32362 ashkie    3u  IPv4 0x888a0643d16cb223      0t0  TCP 127.0.0.1:8765 (LISTEN)
node      45078 ashkie   12u  IPv4 0x94fde329bf56ed73      0t0  TCP 127.0.0.1:8911 (LISTEN)
node      47968 ashkie   12u  IPv4 0x2a06af241f90a279      0t0  TCP *:5757 (LISTEN)
node      54805 ashkie   16u  IPv6 0x2b950bcc84a48059      0t0  TCP *:3004 (LISTEN)
node      67195 ashkie   12u  IPv4 0x8ded2a77a15b7274      0t0  TCP *:5961 (LISTEN)
node      67196 ashkie   12u  IPv4 0x533a12995e40ef2f      0t0  TCP *:5962 (LISTEN)
Python    69211 ashkie    4u  IPv6 0xa904558fd7ddc205      0t0  TCP *:8912 (LISTEN)
Google    72492 ashkie   30u  IPv6 0xce5839653384cc51      0t0  TCP [::1]:7679 (LISTEN)
Python    77697 ashkie    3u  IPv4 0x945fb6e1a5e022bd      0t0  TCP 127.0.0.1:8898 (LISTEN)
logioptio 98539 ashkie   44u  IPv4  0xee326c30d015c9c      0t0  TCP *:59869 (LISTEN)
