botA,botB,variant,games,aWins,bWins,draws,aWinRate,aWinLo,aWinHi,aWinsAsWhite,gamesAasWhite,aWinsAsBlack,gamesAasBlack,meanTurns,aScore,inactivityDrawRate,purchasesPerGame,aPurchasesPerGame,bPurchasesPerGame,meanCompletedTurns,adjudicationRate,invariantViolations,illegalActionsTotal,meanDurationMs
AntiRush,Balanced,muju-phasing-1 h0,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,5.0,0.5000,1.0000,6.000,4.500,1.500,10.00,0.000,0,0,3
AntiRush,Balanced,muju-phasing-1 h3,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,7.5,0.5000,1.0000,11.250,8.500,2.750,14.50,0.000,0,0,6
AntiRush,Expand,muju-phasing-1 h0,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,5.0,0.5000,1.0000,7.000,5.000,2.000,10.00,0.000,0,0,3
AntiRush,Expand,muju-phasing-1 h3,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,5.0,0.5000,1.0000,8.500,6.500,2.000,10.00,0.000,0,0,3
AntiRush,Greedy,muju-phasing-1 h0,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,11.8,0.5000,1.0000,17.500,11.250,6.250,23.00,0.000,0,0,13
AntiRush,Greedy,muju-phasing-1 h3,4,0,1,3,0.0000,0.0000,0.4899,0,2,0,2,9.3,0.3750,0.7500,12.250,7.750,4.500,17.75,0.000,0,0,11
AntiRush,MiningDenial,muju-phasing-1 h0,4,0,1,3,0.0000,0.0000,0.4899,0,2,0,2,15.3,0.3750,0.7500,54.750,7.000,47.750,29.75,0.000,0,0,34
AntiRush,MiningDenial,muju-phasing-1 h3,4,0,1,3,0.0000,0.0000,0.4899,0,2,0,2,18.5,0.3750,0.7500,80.000,12.000,68.000,36.25,0.000,0,0,54
AntiRush,Mono-fire,muju-phasing-1 h0,4,0,4,0,0.0000,0.0000,0.4899,0,2,0,2,19.5,0.0000,0.0000,24.000,9.500,14.500,37.25,0.000,0,0,16
AntiRush,Mono-fire,muju-phasing-1 h3,4,1,1,2,0.2500,0.0456,0.6994,0,2,1,2,20.0,0.5000,0.5000,21.000,9.000,12.000,38.75,0.000,0,0,14
AntiRush,Mono-lightning,muju-phasing-1 h0,4,1,1,2,0.2500,0.0456,0.6994,1,2,0,2,28.3,0.5000,0.5000,33.750,12.250,21.500,55.75,0.000,0,0,18
AntiRush,Mono-lightning,muju-phasing-1 h3,4,0,2,2,0.0000,0.0000,0.4899,0,2,0,2,26.3,0.2500,0.5000,30.750,9.750,21.000,51.75,0.000,0,0,17
AntiRush,Mono-metal,muju-phasing-1 h0,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,9.5,0.5000,1.0000,12.000,6.250,5.750,18.75,0.000,0,0,8
AntiRush,Mono-metal,muju-phasing-1 h3,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,9.8,0.5000,1.0000,13.000,7.000,6.000,19.50,0.000,0,0,9
AntiRush,Mono-plant,muju-phasing-1 h0,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,10.8,0.5000,1.0000,21.250,16.250,5.000,21.25,0.000,0,0,9
AntiRush,Mono-plant,muju-phasing-1 h3,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,9.8,0.5000,1.0000,20.000,15.000,5.000,19.00,0.000,0,0,10
AntiRush,Mono-shadow,muju-phasing-1 h0,4,1,0,3,0.2500,0.0456,0.6994,1,2,0,2,27.0,0.6250,0.7500,34.500,19.500,15.000,53.25,0.000,0,0,22
AntiRush,Mono-shadow,muju-phasing-1 h3,4,2,0,2,0.5000,0.1500,0.8500,1,2,1,2,18.5,0.7500,0.5000,26.500,17.750,8.750,36.00,0.000,0,0,17
AntiRush,Mono-water,muju-phasing-1 h0,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,11.8,0.5000,1.0000,8.750,4.500,4.250,23.25,0.000,0,0,9
AntiRush,Mono-water,muju-phasing-1 h3,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,9.8,0.5000,1.0000,13.750,10.000,3.750,19.25,0.000,0,0,9
AntiRush,Random,muju-phasing-1 h0,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,8.8,0.5000,1.0000,16.750,6.500,10.250,17.25,0.000,0,0,11
AntiRush,Random,muju-phasing-1 h3,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,7.5,0.5000,1.0000,12.500,5.250,7.250,15.00,0.000,0,0,9
AntiRush,Rush,muju-phasing-1 h0,4,0,3,1,0.0000,0.0000,0.4899,0,2,0,2,17.8,0.1250,0.2500,96.500,5.500,91.000,34.00,0.000,0,0,99
AntiRush,Rush,muju-phasing-1 h3,4,0,3,1,0.0000,0.0000,0.4899,0,2,0,2,22.5,0.1250,0.2500,113.250,6.250,107.000,44.00,0.000,0,0,88
AntiRush,Tier1Spam,muju-phasing-1 h0,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,16.8,0.5000,1.0000,67.500,11.250,56.250,33.25,0.000,0,0,52
AntiRush,Tier1Spam,muju-phasing-1 h3,4,0,2,2,0.0000,0.0000,0.4899,0,2,0,2,18.3,0.2500,0.5000,76.500,8.750,67.750,35.75,0.000,0,0,64
AntiRush,Turtle,muju-phasing-1 h0,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,5.0,0.5000,1.0000,5.750,4.750,1.000,10.00,0.000,0,0,3
AntiRush,Turtle,muju-phasing-1 h3,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,5.0,0.5000,1.0000,7.000,5.500,1.500,10.00,0.000,0,0,3
Balanced,Expand,muju-phasing-1 h0,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,5.0,0.5000,1.0000,3.250,1.250,2.000,10.00,0.000,0,0,1
Balanced,Expand,muju-phasing-1 h3,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,5.0,0.5000,1.0000,3.250,1.250,2.000,10.00,0.000,0,0,1
Balanced,Greedy,muju-phasing-1 h0,4,0,0,4,0.0000,0.0000,0.4899,0,2,0,2,11.0,0.5000,1.0000,8.000,3.500,4.500,21.25,0.000,0,0,14
