botA,botB,variant,games,aWins,bWins,draws,aWinRate,aWinLo,aWinHi,aWinsAsWhite,gamesAasWhite,aWinsAsBlack,gamesAasBlack,meanTurns,adjudicationRate,invariantViolations,illegalActionsTotal,meanDurationMs
Mono-fire,Mono-fire,,200,94,106,0,0.4700,0.4020,0.5391,94,200,0,0,23.6,0.000,0,0,10
Mono-fire,Mono-lightning,,400,267,133,0,0.6675,0.6199,0.7119,143,200,124,200,19.3,0.000,0,0,8
Mono-fire,Mono-metal,,400,245,155,0,0.6125,0.5639,0.6590,135,200,110,200,19.4,0.000,0,0,7
Mono-fire,Mono-plant,,400,400,0,0,1.0000,0.9905,1.0000,200,200,200,200,12.7,0.000,0,0,6
Mono-fire,Mono-shadow,,400,25,375,0,0.0625,0.0427,0.0906,13,200,12,200,15.5,0.003,0,0,4
Mono-fire,Mono-water,,400,0,400,0,0.0000,0.0000,0.0095,0,200,0,200,21.7,0.000,0,0,10
Mono-lightning,Mono-lightning,,200,89,111,0,0.4450,0.3778,0.5143,89,200,0,0,14.7,0.000,0,0,7
Mono-lightning,Mono-metal,,400,11,389,0,0.0275,0.0154,0.0486,6,200,5,200,17.3,0.007,0,0,7
Mono-lightning,Mono-plant,,400,315,85,0,0.7875,0.7448,0.8248,165,200,150,200,31.1,0.145,0,0,9
Mono-lightning,Mono-shadow,,400,0,400,0,0.0000,0.0000,0.0095,0,200,0,200,9.7,0.000,0,0,3
Mono-lightning,Mono-water,,400,0,399,0,0.0000,0.0000,0.0095,0,200,0,200,16.9,0.000,1,0,8
Mono-metal,Mono-metal,,200,137,61,2,0.6850,0.6176,0.7454,137,200,0,0,81.6,0.550,0,0,29
Mono-metal,Mono-plant,,400,385,15,0,0.9625,0.9391,0.9771,200,200,185,200,31.7,0.110,0,0,10
Mono-metal,Mono-shadow,,400,398,2,0,0.9950,0.9820,0.9986,200,200,198,200,13.7,0.000,0,0,3
Mono-metal,Mono-water,,400,400,0,0,1.0000,0.9905,1.0000,200,200,200,200,14.9,0.000,0,0,4
Mono-plant,Mono-plant,,200,153,45,2,0.7650,0.7016,0.8184,153,200,0,0,121.0,0.990,0,0,55
Mono-plant,Mono-shadow,,400,140,260,0,0.3500,0.3049,0.3980,57,200,83,200,19.7,0.052,0,0,4
Mono-plant,Mono-water,,400,390,10,0,0.9750,0.9546,0.9864,194,200,196,200,68.1,0.385,0,0,26
Mono-shadow,Mono-shadow,,200,107,93,0,0.5350,0.4659,0.6028,107,200,0,0,21.0,0.065,0,0,3
Mono-shadow,Mono-water,,400,4,396,0,0.0100,0.0039,0.0254,2,200,2,200,19.4,0.005,0,0,5
Mono-water,Mono-water,,200,127,71,2,0.6350,0.5663,0.6986,127,200,0,0,33.7,0.030,0,0,10
