botA,botB,variant,games,aWins,bWins,draws,aWinRate,aWinLo,aWinHi,aWinsAsWhite,gamesAasWhite,aWinsAsBlack,gamesAasBlack,meanTurns,adjudicationRate,invariantViolations,illegalActionsTotal,meanDurationMs
AntiRush,Rush,,400,350,50,0,0.8750,0.8390,0.9039,158,200,192,200,107.1,0.875,0,0,15
AntiRush,Rush,graph=dual-triangle,400,355,45,0,0.8875,0.8528,0.9149,169,200,186,200,108.4,0.887,0,0,14
AntiRush,Rush,graph=rush-edge-only,400,16,384,0,0.0400,0.0248,0.0640,8,200,8,200,12.9,0.040,0,0,2
AntiRush,Rush,graph=none,400,9,391,0,0.0225,0.0119,0.0422,7,200,2,200,11.1,0.022,0,0,2
Balanced,Expand,,300,129,167,4,0.4300,0.3752,0.4866,76,150,53,150,117.5,0.933,0,0,55
Balanced,Expand,graph=dual-triangle,300,280,19,1,0.9333,0.8993,0.9564,138,150,142,150,56.9,0.187,0,0,35
Balanced,Expand,graph=rush-edge-only,300,289,11,0,0.9633,0.9355,0.9794,143,150,146,150,52.1,0.127,0,0,32
Balanced,Expand,graph=none,300,284,16,0,0.9467,0.9151,0.9669,140,150,144,150,52.9,0.130,0,0,34
Balanced,Rush,,300,165,135,0,0.5500,0.4934,0.6053,90,150,75,150,22.7,0.017,0,0,7
Balanced,Rush,graph=dual-triangle,300,93,205,2,0.3100,0.2603,0.3645,50,150,43,150,24.6,0.087,0,0,4
Balanced,Rush,graph=rush-edge-only,300,2,298,0,0.0067,0.0018,0.0240,1,150,1,150,6.8,0.000,0,0,1
Balanced,Rush,graph=none,300,112,188,0,0.3733,0.3205,0.4293,77,150,35,150,22.3,0.067,0,0,6
Expand,Rush,,300,12,288,0,0.0400,0.0230,0.0686,7,150,5,150,17.0,0.040,0,0,4
Expand,Rush,graph=dual-triangle,300,13,287,0,0.0433,0.0255,0.0727,7,150,6,150,16.1,0.037,0,0,3
Expand,Rush,graph=rush-edge-only,300,0,300,0,0.0000,0.0000,0.0126,0,150,0,150,6.2,0.000,0,0,1
Expand,Rush,graph=none,300,86,213,1,0.2867,0.2384,0.3403,63,150,23,150,39.9,0.277,0,0,5
Mono-fire,Mono-plant,,300,300,0,0,1.0000,0.9874,1.0000,150,150,150,150,12.7,0.000,0,0,6
Mono-fire,Mono-plant,graph=dual-triangle,300,300,0,0,1.0000,0.9874,1.0000,150,150,150,150,12.9,0.000,0,0,6
Mono-fire,Mono-plant,graph=rush-edge-only,300,300,0,0,1.0000,0.9874,1.0000,150,150,150,150,12.1,0.000,0,0,5
Mono-fire,Mono-plant,graph=none,300,241,59,0,0.8033,0.7546,0.8444,124,150,117,150,27.5,0.053,0,0,8
Mono-fire,Mono-water,,300,0,300,0,0.0000,0.0000,0.0126,0,150,0,150,21.5,0.000,0,0,9
Mono-fire,Mono-water,graph=dual-triangle,300,0,300,0,0.0000,0.0000,0.0126,0,150,0,150,21.6,0.000,0,0,10
Mono-fire,Mono-water,graph=rush-edge-only,300,32,268,0,0.1067,0.0766,0.1467,25,150,7,150,22.8,0.000,0,0,8
Mono-fire,Mono-water,graph=none,300,37,263,0,0.1233,0.0908,0.1654,26,150,11,150,23.1,0.000,0,0,8
Mono-lightning,Mono-metal,,300,5,295,0,0.0167,0.0071,0.0384,4,150,1,150,18.4,0.013,0,0,7
Mono-lightning,Mono-metal,graph=dual-triangle,300,46,254,0,0.1533,0.1170,0.1985,30,150,16,150,20.2,0.023,0,0,8
Mono-lightning,Mono-metal,graph=rush-edge-only,300,51,249,0,0.1700,0.1317,0.2166,33,150,18,150,19.3,0.017,0,0,7
Mono-lightning,Mono-metal,graph=none,300,2,298,0,0.0067,0.0018,0.0240,2,150,0,150,14.7,0.000,0,0,6
Mono-plant,Mono-water,,300,294,6,0,0.9800,0.9571,0.9908,149,150,145,150,67.1,0.367,0,0,25
Mono-plant,Mono-water,graph=dual-triangle,300,298,2,0,0.9933,0.9760,0.9982,150,150,148,150,66.4,0.373,0,0,24
Mono-plant,Mono-water,graph=rush-edge-only,300,0,300,0,0.0000,0.0000,0.0126,0,150,0,150,18.6,0.000,0,0,7
Mono-plant,Mono-water,graph=none,300,0,299,1,0.0000,0.0000,0.0126,0,150,0,150,22.6,0.000,0,0,8
