Handicap,W1_ID,Family,Best_pattern,Best_index,Legal_replies,Within_one_of_global_best,No_White_capture_near_best,Global_best_pattern,Global_best_index
0,1,0,792,-5.94,797,5,5,792,-5.94
3,1,0,792,-8.94,797,0,0,3086,-11.31
3,1,1,1350,-10.5,1070,1,1,3086,-11.31
3,1,2,3086,-11.31,1811,4,4,3086,-11.31
4,1,0,792,-9.94,797,0,0,4459,-13.4
4,1,1,1350,-11.5,1070,0,0,4459,-13.4
4,1,2,3086,-12.31,1811,0,0,4459,-13.4
4,1,3,4459,-13.4,786,5,5,4459,-13.4
4,1,4,5616,-9.6,1157,0,0,4459,-13.4
4,1,5,6413,-9.04,797,0,0,4459,-13.4
4,1,6,7210,-9.04,797,0,0,4459,-13.4
4,1,7,8007,-10.44,797,0,0,4459,-13.4
0,2,0,767,-2.78,797,31,31,767,-2.78
3,2,0,767,-5.78,797,0,0,3646,-8.49
3,2,1,1328,-7.34,1070,0,0,3646,-8.49
3,2,2,3646,-8.49,1811,69,69,3646,-8.49
4,2,0,767,-6.78,797,0,0,4434,-10.24
4,2,1,1328,-8.34,1070,0,0,4434,-10.24
4,2,2,3646,-9.49,1811,7,7,4434,-10.24
4,2,3,4434,-10.24,786,31,31,4434,-10.24
4,2,4,5588,-6.44,1157,0,0,4434,-10.24
4,2,5,6388,-5.88,797,0,0,4434,-10.24
4,2,6,7185,-5.88,797,0,0,4434,-10.24
4,2,7,7982,-7.28,797,0,0,4434,-10.24
0,3,0,85,-3.3,797,76,76,85,-3.3
3,3,0,85,-6.3,797,0,0,3586,-8.86
3,3,1,1855,-7.92,1070,3,3,3586,-8.86
3,3,2,3586,-8.86,1811,55,55,3586,-8.86
4,3,0,85,-7.3,797,0,0,3707,-10.76
4,3,1,1855,-8.92,1070,0,0,3707,-10.76
4,3,2,3586,-9.86,1811,3,3,3707,-10.76
4,3,3,3707,-10.76,786,73,73,3707,-10.76
4,3,4,5149,-7.54,1157,0,0,3707,-10.76
4,3,5,5706,-6.4,797,0,0,3707,-10.76
4,3,6,6503,-6.4,797,0,0,3707,-10.76
4,3,7,7300,-7.8,797,0,0,3707,-10.76
0,4,0,767,-2.78,797,31,31,767,-2.78
3,4,0,767,-5.78,797,0,0,3646,-8.49
3,4,1,1328,-7.34,1070,0,0,3646,-8.49
3,4,2,3646,-8.49,1811,69,69,3646,-8.49
4,4,0,767,-6.78,797,0,0,4434,-10.24
4,4,1,1328,-8.34,1070,0,0,4434,-10.24
4,4,2,3646,-9.49,1811,7,7,4434,-10.24
4,4,3,4434,-10.24,786,31,31,4434,-10.24
4,4,4,5588,-6.44,1157,0,0,4434,-10.24
4,4,5,6388,-5.88,797,0,0,4434,-10.24
4,4,6,7185,-5.88,797,0,0,4434,-10.24
4,4,7,7982,-7.28,797,0,0,4434,-10.24
0,5,0,85,-3.3,797,76,76,85,-3.3
3,5,0,85,-6.3,797,0,0,3586,-8.86
3,5,1,1855,-7.92,1070,3,3,3586,-8.86
3,5,2,3586,-8.86,1811,55,55,3586,-8.86
4,5,0,85,-7.3,797,0,0,3707,-10.76
4,5,1,1855,-8.92,1070,0,0,3707,-10.76
4,5,2,3586,-9.86,1811,3,3,3707,-10.76
4,5,3,3707,-10.76,786,73,73,3707,-10.76
4,5,4,5149,-7.54,1157,0,0,3707,-10.76
4,5,5,5706,-6.4,797,0,0,3707,-10.76
4,5,6,6503,-6.4,797,0,0,3707,-10.76
4,5,7,7300,-7.8,797,0,0,3707,-10.76
0,6,0,85,-3.64,797,76,76,85,-3.64
3,6,0,85,-6.64,797,0,0,3586,-9.08
3,6,1,1855,-8.26,1070,19,19,3586,-9.08
3,6,2,3586,-9.08,1811,55,55,3586,-9.08
4,6,0,85,-7.64,797,0,0,3707,-11.1
4,6,1,1855,-9.26,1070,0,0,3707,-11.1
4,6,2,3586,-10.08,1811,0,0,3707,-11.1
4,6,3,3707,-11.1,786,73,73,3707,-11.1
4,6,4,5149,-7.88,1157,0,0,3707,-11.1
4,6,5,5706,-6.74,797,0,0,3707,-11.1
4,6,6,6503,-6.74,797,0,0,3707,-11.1
4,6,7,7300,-8.14,797,0,0,3707,-11.1
0,7,0,767,-2.78,797,31,31,767,-2.78
3,7,0,767,-5.78,797,0,0,3587,-8.21
3,7,1,1328,-7.34,1070,6,6,3587,-8.21
3,7,2,3587,-8.21,1811,67,67,3587,-8.21
4,7,0,767,-6.78,797,0,0,4434,-10.24
4,7,1,1328,-8.34,1070,0,0,4434,-10.24
4,7,2,3587,-9.21,1811,0,0,4434,-10.24
4,7,3,4434,-10.24,786,31,31,4434,-10.24
4,7,4,5588,-6.44,1157,0,0,4434,-10.24
4,7,5,6388,-5.88,797,0,0,4434,-10.24
4,7,6,7185,-5.88,797,0,0,4434,-10.24
4,7,7,7982,-7.28,797,0,0,4434,-10.24
0,8,0,767,-2.44,797,31,31,767,-2.44
3,8,0,767,-5.44,797,0,0,3646,-8.15
