Item,name,item_type,icon,price,rarity,
Item,Rusty Spoon,ARTIFACT,none,2,COMMON,
Item,Rusty Spur,ARTIFACT,none,2,COMMON,
Item,Arrowhead,ARTIFACT,none,3,COMMON,
Item,Pottery Shard,ARTIFACT,none,4,COMMON,
Item,Dinosaur Egg,ARTIFACT,none,50,EPIC,
Item,Fossilized Skull,ARTIFACT,none,50,EPIC,
Item,Golden Plate,ARTIFACT,none,100,EPIC,
Item,Ammonite,ARTIFACT,none,15,RARE,
Item,Fossilized Claw,ARTIFACT,none,15,RARE,
Item,Fossilized Tooth,ARTIFACT,none,15,RARE,
Item,Trilobite,ARTIFACT,none,15,RARE,
Item,Fossilized Shell,ARTIFACT,none,20,RARE,
Item,Coprolite,ARTIFACT,none,1,UNCOMMON,
Item,Footprint,ARTIFACT,none,5,UNCOMMON,
Item,Petrified Leaf,ARTIFACT,none,6,UNCOMMON,
Item,Petrified Twig,ARTIFACT,none,7,UNCOMMON,
Item,Amber,ARTIFACT,none,8,UNCOMMON,
Item,Prehistoric Handaxe,ARTIFACT,none,10,UNCOMMON,
Item,Prehistoric Tool,ARTIFACT,none,10,UNCOMMON,
Item,Gooseberries,BERRY,none,1,COMMON,
Item,Huckleberries,BERRY,none,1,COMMON,
Item,Salmonberries,BERRY,none,1,COMMON,
Item,Blueberries,BERRY,none,5,RARE,
Item,Juniperberries,BERRY,none,5,RARE,
Item,Blackberries,BERRY,none,3,UNCOMMON,
Item,Mulberries,BERRY,none,3,UNCOMMON,
Item,Raspberries,BERRY,none,3,UNCOMMON,
Item,Spiceberries,BERRY,none,3,UNCOMMON,
Item,Anchovy,FISH,none,2,COMMON,
Item,Carp,FISH,none,2,COMMON,
Item,Chub,FISH,none,2,COMMON,
Item,Goldfish,FISH,none,2,COMMON,
Item,Sardine,FISH,none,2,COMMON,
Item,Herring,FISH,none,3,COMMON,
Item,Shad,FISH,none,3,COMMON,
Item,Trout,FISH,none,3,COMMON,
Item,Bass,FISH,none,4,COMMON,
Item,Flounder,FISH,none,4,COMMON,
Item,Angelfish,FISH,none,50,EPIC,
Item,Lionfish,FISH,none,50,EPIC,
Item,Catfish,FISH,none,15,RARE,
Item,Sturgeon,FISH,none,15,RARE,
Item,Octopus,FISH,none,20,RARE,
Item,Squid,FISH,none,20,RARE,
Item,Jellyfish,FISH,none,1,UNCOMMON,
Item,Eel,FISH,none,5,UNCOMMON,
Item,Perch,FISH,none,5,UNCOMMON,
Item,Pike,FISH,none,6,UNCOMMON,
